16
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
-100
[0,0,11,10,15,6,4,0,8,9,0,13,2,0,7,12]
[12,0,0,0,0,0,0,14,7,0,10,0,0,5,4,9]
[0,7,4,2,0,0,1,8,0,0,0,0,6,11,0,14]
[0,0,15,14,0,11,3,0,2,0,0,0,1,0,10,8]
[8,0,0,0,0,14,0,0,4,0,0,0,0,15,6,2]
[0,0,0,12,10,4,0,0,13,6,1,15,3,0,5,0]
[0,15,13,6,0,0,0,0,10,14,8,0,0,1,0,11]
[0,0,0,7,0,12,15,9,0,3,2,0,10,0,14,0]
[0,0,0,0,0,8,6,0,14,0,15,0,0,12,0,0]
[14,0,0,13,0,0,0,10,0,12,5,4,0,0,8,15]
[0,0,10,4,0,7,5,11,0,8,0,0,0,9,0,3]
[6,0,8,9,3,13,0,0,0,0,11,0,0,4,0,5]
[3,0,1,15,0,9,10,0,12,0,0,5,11,13,0,0]
[7,13,9,0,0,0,0,0,0,0,3,11,0,2,12,4]
[0,8,12,11,7,5,0,0,15,0,13,14,9,10,0,1]
[10,2,6,0,0,0,13,12,9,0,4,0,0,14,0,7]
-100
[0,15,0,1,0,2,10,14,12,0,0,0,16,9,4,5]
[0,6,3,16,12,0,8,4,14,15,1,0,2,0,7,13]
[14,0,9,7,11,3,15,0,0,2,16,4,12,0,1,6]
[4,13,2,12,0,0,0,0,6,0,0,0,0,15,0,0]
[0,0,0,0,14,1,11,7,3,5,10,0,0,8,0,12]
[3,16,0,0,2,4,6,0,11,14,7,13,0,0,5,15]
[11,0,5,13,8,12,0,15,0,9,4,0,0,6,0,0]
[0,0,0,0,13,0,16,5,15,0,0,12,9,2,0,11]
[13,0,16,5,9,0,1,12,0,8,3,10,11,0,15,0]
[2,12,0,11,0,0,14,3,5,4,0,0,0,0,9,0]
[6,3,0,4,0,0,13,0,0,11,9,1,0,12,16,2]
[0,0,10,9,0,0,0,0,0,0,12,0,8,0,6,7]
[12,8,0,0,16,0,0,10,0,13,0,0,0,5,0,0]
[5,0,0,0,3,0,4,6,0,1,15,0,0,0,0,0]
[0,9,1,6,0,14,0,11,0,0,2,0,0,0,10,8]
[0,14,0,0,0,13,9,0,4,12,11,8,0,0,2,0]
-100
